2016-12-23 21:34:16,505 [74] INFO  ServiceLoginLogger [(null)] - Logout - LoginName: org2, Password: 123456, ClientIP: ::1, ::1, Token: b0b41473-b58e-4660-9303-cf106d6d67c7
2016-12-23 21:35:37,519 [77] INFO  ServiceLoginLogger [(null)] - Login - LoginName: superadmin, Password: resetpass, ClientIP: ::1, ::1, Token: eb58abaf-f3cb-4ae1-94d3-fa1418f04460
2016-12-23 21:35:37,553 [74] INFO  LoginLogger [(null)] - Event: LoginByName; LoginName: superadmin; Password: resetpass; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: eb58abaf-f3cb-4ae1-94d3-fa1418f04460; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: True
2016-12-23 21:36:37,799 [77] INFO  ServiceLoginLogger [(null)] - Logout - LoginName: superadmin, Password: resetpass, ClientIP: ::1, ::1, Token: eb58abaf-f3cb-4ae1-94d3-fa1418f04460
2016-12-23 21:36:37,815 [71] INFO  LoginLogger [(null)] - Event: Logout; LoginName: superadmin; Password: resetpass; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: eb58abaf-f3cb-4ae1-94d3-fa1418f04460; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: 
2016-12-23 21:36:37,821 [78] INFO  ServiceLoginLogger [(null)] - Logout - LoginName: , Password: , ClientIP: ::1, ::1, Token: eb58abaf-f3cb-4ae1-94d3-fa1418f04460
2016-12-23 21:36:41,764 [80] INFO  ServiceLoginLogger [(null)] - Login - LoginName: Moe, Password: 123456, ClientIP: ::1, ::1, Token: 409c8d3b-82a6-4c61-8f8d-1cd9cbe4ac1d
2016-12-23 21:36:41,808 [76] INFO  LoginLogger [(null)] - Event: LoginByName; LoginName: Moe; Password: 123456; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: 409c8d3b-82a6-4c61-8f8d-1cd9cbe4ac1d; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: True
2016-12-23 21:37:25,502 [80] INFO  ServiceLoginLogger [(null)] - Logout - LoginName: Moe, Password: 123456, ClientIP: ::1, ::1, Token: 409c8d3b-82a6-4c61-8f8d-1cd9cbe4ac1d
2016-12-23 21:37:25,512 [70] INFO  LoginLogger [(null)] - Event: Logout; LoginName: Moe; Password: 123456; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: 409c8d3b-82a6-4c61-8f8d-1cd9cbe4ac1d; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: 
2016-12-23 21:37:25,517 [71] INFO  ServiceLoginLogger [(null)] - Logout - LoginName: , Password: , ClientIP: ::1, ::1, Token: 409c8d3b-82a6-4c61-8f8d-1cd9cbe4ac1d
2016-12-23 21:37:30,002 [76] INFO  LoginLogger [(null)] - Event: LoginByName; LoginName: org4; Password: 123456; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: ; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: False
2016-12-23 21:37:36,680 [78] INFO  LoginLogger [(null)] - Event: LoginByName; LoginName: org4; Password: 123456; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: ; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: False
2016-12-23 21:37:59,782 [76] INFO  ServiceLoginLogger [(null)] - Login - LoginName: superadmin, Password: resetpass, ClientIP: ::1, ::1, Token: b3456009-d439-4c66-b5f7-85ea26a06958
2016-12-23 21:37:59,809 [78] INFO  LoginLogger [(null)] - Event: LoginByName; LoginName: superadmin; Password: resetpass; ProjectID: 15e903ec-8bac-4619-aaa2-03c7c12afcea; Token: b3456009-d439-4c66-b5f7-85ea26a06958; SessionID: rtfmwagut2juxztrpyww4ots; ClientIP: ::1, ::1; Success: True
2016-12-23 21:38:28,966 [76] INFO  ServiceLoginLogger [(null)] - Login - LoginName: turdziladze@gmail.com, Password: 123, ClientIP: ::1, ::1, Token: 394b48c6-05d1-4c93-8a6b-356d89aec4a2
